iter	RMSE
0	133836.4535
1	116699.1895
2	106181.945
3	100916.9314
4	96994.38189
5	90504.46305
6	88221.98891
7	86836.73737
8	83578.50069
9	82326.74922
10	80982.65313
11	79521.48663
12	77163.27378
13	75330.04137
14	74172.03523
15	73410.56184
16	72578.32035
17	71992.05275
18	71440.23165
19	70984.26388
20	70468.15111
21	69812.18974
22	68914.64985
23	68558.54714
24	68152.75129
25	67730.42424
26	67283.05518
27	66756.62965
28	66458.93383
29	66177.55594
30	65958.78183
31	65683.63207
32	65417.93939
33	65215.2998
34	64970.19479
35	64772.22898
36	64545.5105
37	64258.09842
38	64018.5171
39	63824.15323
40	63460.17925
41	63273.735
42	63096.11948
43	62845.17175
44	62701.5562
45	62557.91664
46	62475.56557
47	62303.0109
48	62242.549
49	62107.7676
50	62040.83517
51	61995.63238
52	61927.29449
53	61843.07198
54	61791.96853
55	61696.70239
56	61575.91918
57	61490.14286
58	61369.10196
59	61223.38311
60	61158.78172
61	61132.88177
62	61092.05635
63	60977.25689
64	60925.45173
65	60878.59825
66	60819.41316
67	60769.89254
68	60690.59602
69	60619.7815
70	60550.58796
71	60542.03126
72	60497.58009
73	60456.08994
74	60444.39933
75	60361.50729
76	60304.12095
77	60227.9526
78	60176.42361
79	60166.62371
80	60129.16067
81	60085.79773
82	60082.61419
83	60006.35833
84	59930.8096
85	59871.78874
86	59828.09538
87	59803.49756
88	59728.78625
89	59658.54403
90	59628.8595
91	59587.87627
92	59538.16681
93	59469.50319
94	59424.44535
95	59398.72014
96	59297.66709
97	59234.38651
98	59195.82358
99	59165.84663
