iter	Passed	Remaining
0	3	380
1	7	351
2	10	351
3	13	321
4	15	301
5	18	288
6	20	277
7	24	276
8	26	272
9	29	263
10	31	255
11	34	249
12	36	244
13	38	238
14	41	234
15	43	228
16	46	225
17	48	223
18	51	219
19	53	215
20	56	212
21	59	210
22	62	207
23	64	205
24	67	201
25	69	198
26	72	196
27	75	193
28	78	191
29	81	189
30	83	186
31	86	184
32	89	181
33	92	178
34	95	176
35	97	173
36	100	170
37	102	167
38	105	164
39	108	162
40	111	159
41	113	157
42	116	154
43	119	152
44	122	149
45	124	146
46	127	143
47	129	140
48	132	137
49	135	135
50	138	132
51	140	129
52	143	127
53	146	124
54	149	122
55	152	119
56	154	116
57	157	114
58	159	111
59	162	108
60	165	105
61	168	103
62	171	100
63	173	97
64	176	94
65	178	92
66	181	89
67	184	86
68	186	83
69	188	80
70	191	78
71	193	75
72	196	72
73	198	69
74	201	67
75	204	64
76	207	61
77	210	59
78	212	56
79	215	53
80	218	51
81	220	48
82	223	45
83	226	43
84	228	40
85	231	37
86	234	35
87	237	32
88	239	29
89	242	26
90	244	24
91	247	21
92	250	18
93	252	16
94	256	13
95	259	10
96	262	8
97	265	5
98	267	2
99	270	0
