city,brand,model,href,price,year,mileage,body_type,colour,engine_info,credit_per_month,transmission,drive,hand_drive,condition,owners_num,doc_unique
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1044366307-aa521a/,500 000 ₽,2015,60 500 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,3 444 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1070379985-3800a3a2/,405 000 ₽,2012,130 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1082430894-f5ce3/,630 000 ₽,2017,67 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1083394226-944db044/,620 000 ₽,2016,80 000 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1084722197-95296c0d/,729 000 ₽,2017,150 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,3 567 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1084795334-6dc70d6e/,720 000 ₽,2017,23 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1084910816-58317e85/,730 000 ₽,2017,93 000 км,седан,белый,"1.6 л / 123 л.с. / Бензин, газобаллонное оборудование",4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1085273056-2bb3701b/,790 000 ₽,2017,26 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1085727622-44c7623e/,680 000 ₽,2017,48 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,3 444 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1086573608-f700fcde/,760 000 ₽,2018,11 000 км,седан,серый,1.4 л / 100 л.с. / Бензин,1 600 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1086637310-c3e8170b/,720 000 ₽,2017,12 500 км,седан,коричневый,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1086698862-8754be64/,770 000 ₽,2018,18 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1086853052-1616091e/,620 000 ₽,2017,17 000 км,седан,чёрный,1.4 л / 100 л.с. / Бензин,1 000 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1086881632-7bb2a491/,620 000 ₽,2017,68 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 567 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
