city,brand,model,price,year,mileage,body_type,colour,annual_car_tax,transmission,drive,hand_drive,owners_num,doc_unique,engine_type,volume,horsepower
kazan,kia,rio,500000.0,2015,60500.0,седан,серебристый,3444.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,405000.0,2012,130000.0,седан,чёрный,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,630000.0,2017,67000.0,седан,белый,3690.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,620000.0,2016,80000.0,седан,серебристый,3690.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,729000.0,2017,150000.0,седан,чёрный,3567.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,720000.0,2017,23000.0,седан,чёрный,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,730000.0,2017,93000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,790000.0,2017,26000.0,седан,белый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,680000.0,2017,48000.0,седан,чёрный,3444.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,760000.0,2018,11000.0,седан,серый,1600.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,720000.0,2017,12500.0,седан,коричневый,4059.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,770000.0,2018,18000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,620000.0,2017,17000.0,седан,чёрный,1000.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,620000.0,2017,68000.0,седан,белый,3567.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,750000.0,2017,48000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,509000.0,2014,152779.0,седан,белый,3210.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,870000.0,2017,105000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
