city,brand,model,price,year,mileage,body_type,colour,transmission,drive,owners_num,doc_unique,engine_type,volume,horsepower
1,1,3,500000.0,2015,60500.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,405000.0,2012,130000.0,1,14,1,0,2,1,0,1.6,123.0
1,1,3,630000.0,2017,67000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,620000.0,2016,80000.0,1,10,1,0,1,1,0,1.6,123.0
1,1,3,729000.0,2017,150000.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,720000.0,2017,23000.0,1,14,1,0,2,1,0,1.6,123.0
1,1,3,730000.0,2017,93000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,790000.0,2017,26000.0,1,1,0,0,2,1,0,1.6,123.0
1,1,3,680000.0,2017,48000.0,1,14,1,0,1,1,0,1.6,123.0
1,1,3,760000.0,2018,11000.0,1,11,0,0,1,1,0,1.4,100.0
1,1,3,720000.0,2017,12500.0,1,6,0,0,2,1,0,1.6,123.0
1,1,3,770000.0,2018,18000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,620000.0,2017,17000.0,1,14,1,0,3,1,0,1.4,100.0
1,1,3,620000.0,2017,68000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,750000.0,2017,48000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,509000.0,2014,152779.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,870000.0,2017,105000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,629500.0,2017,51000.0,1,7,1,0,1,1,0,1.6,123.0
1,1,3,785000.0,2017,30000.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,770000.0,2018,40000.0,1,1,0,0,2,1,0,1.6,123.0
1,1,3,830000.0,2017,52000.0,1,14,0,0,1,1,0,1.6,123.0
1,1,3,420000.0,2013,117532.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,680000.0,2017,48000.0,1,6,0,0,1,1,0,1.6,123.0
1,1,3,379000.0,2013,106000.0,1,11,1,0,3,1,0,1.4,107.0
1,1,3,815000.0,2019,1050.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,780000.0,2017,18300.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,780000.0,2018,21000.0,1,14,0,0,1,1,0,1.4,100.0
1,1,3,560000.0,2014,58000.0,1,5,1,0,1,1,0,1.6,123.0
1,1,3,763000.0,2019,2300.0,1,1,1,0,1,1,0,1.4,100.0
1,1,3,440000.0,2013,100000.0,1,4,1,0,2,1,0,1.4,107.0
1,1,3,565000.0,2016,26500.0,1,6,1,0,3,1,0,1.6,123.0
1,1,3,767000.0,2017,20000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,690000.0,2017,44000.0,1,14,0,0,1,1,0,1.6,123.0
1,1,3,599999.0,2016,44000.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,675000.0,2017,72000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,360000.0,2010,115000.0,4,11,1,0,3,0,0,1.4,95.0
1,1,3,600000.0,2015,87500.0,1,1,1,0,2,1,0,1.6,123.0
1,1,3,810000.0,2018,13800.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,600000.0,2016,90000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,970000.0,2018,9300.0,1,14,0,0,1,1,0,1.6,123.0
1,1,3,620000.0,2017,81000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,650000.0,2017,46000.0,1,1,0,0,3,1,0,1.6,123.0
1,1,3,489000.0,2015,127757.0,1,11,1,0,2,1,0,1.4,107.0
1,1,3,785000.0,2017,47000.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,810000.0,2017,19500.0,1,14,1,0,2,1,0,1.6,123.0
1,1,3,840000.0,2019,9413.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,815000.0,2018,11550.0,1,14,1,0,1,1,0,1.6,123.0
1,1,3,800000.0,2018,31600.0,4,10,1,0,1,1,0,1.6,123.0
1,1,3,575000.0,2016,53000.0,1,1,1,0,2,1,0,1.6,123.0
1,1,3,330000.0,2011,89000.0,1,11,1,0,3,1,0,1.4,95.0
1,1,3,277777.0,2010,98000.0,1,12,1,0,2,1,0,1.4,95.0
1,1,3,890000.0,2019,6000.0,4,14,0,0,1,1,0,1.6,123.0
1,1,3,620000.0,2017,55000.0,1,14,1,0,1,1,0,1.4,100.0
1,1,3,630000.0,2016,40600.0,1,6,0,0,2,1,0,1.6,123.0
1,1,3,615000.0,2016,73100.0,1,1,1,0,1,1,0,1.6,123.0
